epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
108,147.365,1.3772,1.82912,0.72197,0.90917,0.95628,0.93514,0.98264,0.61014,0.95922,0.88621,0.97052,0.49247,1.30899,1.49949,0.64154,0.91328,0.00127763,0.00127763,0.00127763
109,148.586,1.5697,1.90341,0.78708,0.93366,0.95628,0.93514,0.98264,0.61014,0.95922,0.88621,0.97052,0.49247,1.30899,1.49949,0.64154,0.91328,0.00127621,0.00127621,0.00127621
110,149.835,1.64698,2.24111,0.74324,0.90306,0.94501,0.93659,0.98258,0.61835,0.97348,0.88874,0.96851,0.47988,1.27638,1.48906,0.638,0.90098,0.0012748,0.0012748,0.0012748
111,151.11,1.30264,1.86432,0.66016,0.86732,0.94501,0.93659,0.98258,0.61835,0.97348,0.88874,0.96851,0.47988,1.27638,1.48906,0.638,0.90098,0.00127338,0.00127338,0.00127338
112,152.424,1.49244,1.98305,0.74855,0.91829,0.94288,0.92205,0.97676,0.62481,0.94098,0.88582,0.9512,0.45416,1.27192,1.62423,0.65801,0.88978,0.00127197,0.00127197,0.00127197
113,153.664,1.54444,1.83253,0.81669,0.95219,0.94288,0.92205,0.97676,0.62481,0.94098,0.88582,0.9512,0.45416,1.27192,1.62423,0.65801,0.88978,0.00127055,0.00127055,0.00127055
114,154.906,1.38884,1.68526,0.71681,0.92106,0.96704,0.93142,0.97975,0.59681,0.8888,0.86322,0.90257,0.36756,1.39429,1.60779,0.67097,0.9004,0.00126914,0.00126914,0.00126914
115,156.14,1.37475,1.92018,0.68406,0.89504,0.96704,0.93142,0.97975,0.59681,0.8888,0.86322,0.90257,0.36756,1.39429,1.60779,0.67097,0.9004,0.00126772,0.00126772,0.00126772
116,157.396,1.39332,1.72547,0.73095,0.94311,0.99068,0.92809,0.97971,0.61016,0.94877,0.89389,0.93768,0.42419,1.32234,1.5811,0.67576,0.89633,0.00126631,0.00126631,0.00126631
117,158.634,1.39786,1.80809,0.67015,0.88678,0.99068,0.92809,0.97971,0.61016,0.94877,0.89389,0.93768,0.42419,1.32234,1.5811,0.67576,0.89633,0.00126489,0.00126489,0.00126489
118,159.901,1.3497,1.83894,0.71578,0.90301,0.93378,0.98125,0.98467,0.63567,0.92234,0.97,0.96949,0.48153,1.19494,1.4847,0.61628,0.87503,0.00126348,0.00126348,0.00126348
119,161.163,1.35694,1.73239,0.68442,0.89654,0.93378,0.98125,0.98467,0.63567,0.92234,0.97,0.96949,0.48153,1.19494,1.4847,0.61628,0.87503,0.00126206,0.00126206,0.00126206
120,162.416,1.4105,1.82465,0.70438,0.89199,0.9556,0.98889,0.98383,0.63598,0.94438,0.97739,0.96678,0.50877,1.23839,1.45169,0.59983,0.88388,0.00126065,0.00126065,0.00126065
121,163.705,1.33441,1.64134,0.63701,0.86652,0.9556,0.98889,0.98383,0.63598,0.94438,0.97739,0.96678,0.50877,1.23839,1.45169,0.59983,0.88388,0.00125923,0.00125923,0.00125923
122,165.038,1.37228,1.60511,0.67284,0.88361,0.96241,0.98616,0.98244,0.61749,0.94022,0.96385,0.9504,0.45463,1.30859,1.55432,0.61511,0.90446,0.00125782,0.00125782,0.00125782
123,166.308,1.42584,1.75864,0.70723,0.8896,0.96241,0.98616,0.98244,0.61749,0.94022,0.96385,0.9504,0.45463,1.30859,1.55432,0.61511,0.90446,0.00125641,0.00125641,0.00125641
124,167.56,1.36318,1.81306,0.6866,0.91433,0.96363,0.98444,0.98068,0.63451,0.95232,0.97305,0.96343,0.49209,1.23361,1.53079,0.6065,0.88584,0.00125499,0.00125499,0.00125499
